Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_0, 224, 224, 3, 3, 3, 64, 1,
features_2, 224, 224, 3, 3, 64, 64, 1,
features_5, 112, 112, 3, 3, 64, 128, 1,
features_7, 112, 112, 3, 3, 128, 128, 1,
features_10, 56, 56, 3, 3, 128, 256, 1,
features_12, 56, 56, 3, 3, 256, 256, 1,
features_14, 56, 56, 3, 3, 256, 256, 1,
features_16, 56, 56, 3, 3, 256, 256, 1,
features_19, 28, 28, 3, 3, 256, 512, 1,
features_21, 28, 28, 3, 3, 512, 512, 1,
features_23, 28, 28, 3, 3, 512, 512, 1,
features_25, 28, 28, 3, 3, 512, 512, 1,
features_28, 14, 14, 3, 3, 512, 512, 1,
features_30, 14, 14, 3, 3, 512, 512, 1,
features_32, 14, 14, 3, 3, 512, 512, 1,
features_34, 14, 14, 3, 3, 512, 512, 1,
classifier_0, 1, 1, 1, 1, 25088, 4096, 1,
classifier_3, 1, 1, 1, 1, 4096, 4096, 1,
classifier_6, 1, 1, 1, 1, 4096, 1000, 1,
