Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
features_denseblock3_denselayer21_conv1, 14, 14, 1, 1, 896, 128, 1,
features_denseblock3_denselayer21_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer22_conv1, 14, 14, 1, 1, 928, 128, 1,
features_denseblock3_denselayer22_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer23_conv1, 14, 14, 1, 1, 960, 128, 1,
features_denseblock3_denselayer23_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer24_conv1, 14, 14, 1, 1, 992, 128, 1,
features_denseblock3_denselayer24_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer25_conv1, 14, 14, 1, 1, 1024, 128, 1,
features_denseblock3_denselayer25_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer26_conv1, 14, 14, 1, 1, 1056, 128, 1,
features_denseblock3_denselayer26_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer27_conv1, 14, 14, 1, 1, 1088, 128, 1,
features_denseblock3_denselayer27_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer28_conv1, 14, 14, 1, 1, 1120, 128, 1,
features_denseblock3_denselayer28_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer29_conv1, 14, 14, 1, 1, 1152, 128, 1,
features_denseblock3_denselayer29_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer30_conv1, 14, 14, 1, 1, 1184, 128, 1,
features_denseblock3_denselayer30_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer31_conv1, 14, 14, 1, 1, 1216, 128, 1,
features_denseblock3_denselayer31_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer32_conv1, 14, 14, 1, 1, 1248, 128, 1,
features_denseblock3_denselayer32_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer33_conv1, 14, 14, 1, 1, 1280, 128, 1,
features_denseblock3_denselayer33_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer34_conv1, 14, 14, 1, 1, 1312, 128, 1,
features_denseblock3_denselayer34_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer35_conv1, 14, 14, 1, 1, 1344, 128, 1,
features_denseblock3_denselayer35_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer36_conv1, 14, 14, 1, 1, 1376, 128, 1,
features_denseblock3_denselayer36_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer37_conv1, 14, 14, 1, 1, 1408, 128, 1,
features_denseblock3_denselayer37_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer38_conv1, 14, 14, 1, 1, 1440, 128, 1,
features_denseblock3_denselayer38_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer39_conv1, 14, 14, 1, 1, 1472, 128, 1,
features_denseblock3_denselayer39_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer40_conv1, 14, 14, 1, 1, 1504, 128, 1,
features_denseblock3_denselayer40_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer41_conv1, 14, 14, 1, 1, 1536, 128, 1,
features_denseblock3_denselayer41_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer42_conv1, 14, 14, 1, 1, 1568, 128, 1,
features_denseblock3_denselayer42_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer43_conv1, 14, 14, 1, 1, 1600, 128, 1,
features_denseblock3_denselayer43_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer44_conv1, 14, 14, 1, 1, 1632, 128, 1,
features_denseblock3_denselayer44_conv2, 14, 14, 3, 3, 128, 32, 1,
features_denseblock3_denselayer45_conv1, 14, 14, 1, 1, 1664, 128, 1,
features_denseblock3_denselayer45_conv2, 14, 14, 3, 3, 128, 32, 1,
