Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Mixed_7a_branch7x7x3_4_conv, 12, 12, 3, 3, 192, 192, 2,
Mixed_7b_branch1x1_conv, 5, 5, 1, 1, 1280, 320, 1,
Mixed_7b_branch3x3_1_conv, 5, 5, 1, 1, 1280, 384, 1,
Mixed_7b_branch3x3_2a_conv, 5, 5, 1, 3, 384, 384, 1,
Mixed_7b_branch3x3_2b_conv, 5, 5, 3, 1, 384, 384, 1,
Mixed_7b_branch3x3dbl_1_conv, 5, 5, 1, 1, 1280, 448, 1,
Mixed_7b_branch3x3dbl_2_conv, 5, 5, 3, 3, 448, 384, 1,
Mixed_7b_branch3x3dbl_3a_conv, 5, 5, 1, 3, 384, 384, 1,
Mixed_7b_branch3x3dbl_3b_conv, 5, 5, 3, 1, 384, 384, 1,
Mixed_7b_branch_pool_conv, 5, 5, 1, 1, 1280, 192, 1,
Mixed_7c_branch1x1_conv, 5, 5, 1, 1, 2048, 320, 1,
Mixed_7c_branch3x3_1_conv, 5, 5, 1, 1, 2048, 384, 1,
Mixed_7c_branch3x3_2a_conv, 5, 5, 1, 3, 384, 384, 1,
Mixed_7c_branch3x3_2b_conv, 5, 5, 3, 1, 384, 384, 1,
Mixed_7c_branch3x3dbl_1_conv, 5, 5, 1, 1, 2048, 448, 1,
Mixed_7c_branch3x3dbl_2_conv, 5, 5, 3, 3, 448, 384, 1,
Mixed_7c_branch3x3dbl_3a_conv, 5, 5, 1, 3, 384, 384, 1,
Mixed_7c_branch3x3dbl_3b_conv, 5, 5, 3, 1, 384, 384, 1,
Mixed_7c_branch_pool_conv, 5, 5, 1, 1, 2048, 192, 1,
fc, 1, 1, 1, 1, 2048, 1000, 1,
