Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

features_conv0, 224, 224, 7, 7, 3, 96, 2,
features_denseblock1_denselayer1_conv1, 56, 56, 1, 1, 96, 192, 1,
features_denseblock1_denselayer1_conv2, 56, 56, 3, 3, 192, 48, 1,
features_denseblock1_denselayer2_conv1, 56, 56, 1, 1, 144, 192, 1,
features_denseblock1_denselayer2_conv2, 56, 56, 3, 3, 192, 48, 1,
features_denseblock1_denselayer3_conv1, 56, 56, 1, 1, 192, 192, 1,
features_denseblock1_denselayer3_conv2, 56, 56, 3, 3, 192, 48, 1,
features_denseblock1_denselayer4_conv1, 56, 56, 1, 1, 240, 192, 1,
features_denseblock1_denselayer4_conv2, 56, 56, 3, 3, 192, 48, 1,
features_denseblock1_denselayer5_conv1, 56, 56, 1, 1, 288, 192, 1,
features_denseblock1_denselayer5_conv2, 56, 56, 3, 3, 192, 48, 1,
features_denseblock1_denselayer6_conv1, 56, 56, 1, 1, 336, 192, 1,
features_denseblock1_denselayer6_conv2, 56, 56, 3, 3, 192, 48, 1,
features_transition1_conv, 56, 56, 1, 1, 384, 192, 1,
features_denseblock2_denselayer1_conv1, 28, 28, 1, 1, 192, 192, 1,
features_denseblock2_denselayer1_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer2_conv1, 28, 28, 1, 1, 240, 192, 1,
features_denseblock2_denselayer2_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer3_conv1, 28, 28, 1, 1, 288, 192, 1,
features_denseblock2_denselayer3_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer4_conv1, 28, 28, 1, 1, 336, 192, 1,
features_denseblock2_denselayer4_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer5_conv1, 28, 28, 1, 1, 384, 192, 1,
features_denseblock2_denselayer5_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer6_conv1, 28, 28, 1, 1, 432, 192, 1,
features_denseblock2_denselayer6_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer7_conv1, 28, 28, 1, 1, 480, 192, 1,
features_denseblock2_denselayer7_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer8_conv1, 28, 28, 1, 1, 528, 192, 1,
features_denseblock2_denselayer8_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer9_conv1, 28, 28, 1, 1, 576, 192, 1,
features_denseblock2_denselayer9_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer10_conv1, 28, 28, 1, 1, 624, 192, 1,
features_denseblock2_denselayer10_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer11_conv1, 28, 28, 1, 1, 672, 192, 1,
features_denseblock2_denselayer11_conv2, 28, 28, 3, 3, 192, 48, 1,
features_denseblock2_denselayer12_conv1, 28, 28, 1, 1, 720, 192, 1,
features_denseblock2_denselayer12_conv2, 28, 28, 3, 3, 192, 48, 1,
features_transition2_conv, 28, 28, 1, 1, 768, 384, 1,
features_denseblock3_denselayer1_conv1, 14, 14, 1, 1, 384, 192, 1,
features_denseblock3_denselayer1_conv2, 14, 14, 3, 3, 192, 48, 1,
features_denseblock3_denselayer2_conv1, 14, 14, 1, 1, 432, 192, 1,
features_denseblock3_denselayer2_conv2, 14, 14, 3, 3, 192, 48, 1,
features_denseblock3_denselayer3_conv1, 14, 14, 1, 1, 480, 192, 1,
features_denseblock3_denselayer3_conv2, 14, 14, 3, 3, 192, 48, 1,
